Comment,Label,Nothing
들을 당시에는 원곡이 너무 쎄고 2ne1에 확실히 맞춰져있어서 아 그래도 원곡은 원곡이다 했는데 생각해보면 여기 나온 팀들 보면 다 좋은데 그래도 파이어 같은 곡을 소화를 할 애들은 아이들뿐이었던 것 같다... ㄷㄷㄷㄷ,1,
아니 걸그룹 멤버가 작사 작곡 그리고 퀸덤에서는 편곡까지 다하는데 다른 그룹에 꿇릴게 뭐가있다고 순위를 저렇게함 ㅋㅋ 에스닉 힙에 본인들 곡에서는 붐뱁도 소화한 그룹인데 암넷은 상대를 너무 잘못봤어 ㅋㅋ,1,
비록 경연에선 6위를 했더라도 지금 많은 사람들이 6위를 할 만한 무대인가 라고 생각해주시는 게 다행인 것 같고 팬으로써 정말 행복하다,1,
"수진은 정글의사람을 홀리고 잔악하게 집어삼키는 뱀의 여왕, 우기는 정글 어느 인디언 부족의 모험심 많은 아이,소연은 부족에서 버려지고 재규어와 함께 자란 재규어의 아이,미연은 정글 인디언 부족의 차기 제사장,민니는 정글 인디언 부족의 차기 족장이자 전사,슈화는 미연과 우기가 있는 부족이 섬기는 여신",1,
"이럴거면 방출이라는 시스템을 만들지를 말았어야지 초반에 서바이벌로 분위기 탈려다 사람들 여돌끼리의 친목, 리액션 반응보고 급분위기 우회해서 방출없이 갈려고 자기들이 순위 바꾸면 순위매기는게 무슨 의미가 있냐",0,
슈화 머리가 찰랑찰랑거리도록 엉덩일 살랑살랑 흔들어 부분 너무 좋음 다들 라이언에서 슈화 부분 좋다고 하는데 난 이부분이 더 좋은듯 진짜,1,
진짜로 존나 이해안가는게 킹덤은 한그룹 6위두번해서 떨어진거로 아는데 이건 일부러 러블리즈 6위두번못하라고 조작한건가.... 진짜로 이해안가네... 유튜브 조회수를 좀 봐라....,0,
3:56 왜 아무도 여기 얘기안하지...?진짜 수진 미쳤어...,1,
나만 이 영상을 10번 넘게본거 아니죠?,1,
진짜 이영상 하루에 5번은 보는 것 같다ㅠㅠ 노래도 추억이고 처음에 똥땅땅 하는 멜로디도 넘 좋고... 너무 중독성 있는걸...,1,
아니 진짜 이 무대가 6위라는 건 인정 못함 애초에 정글 컨셉으로 한 거 자체가 미쳤는데;;,0,
수진이 댄브 진짜 넋놓고 홀린듯이 백만번돌려봄,1,
이거 래알 레전드 무대임.그런돼 엠넷이 조작해서 아니 엠넷은 왜 남의 꿈또는노력을 조작하지 만약에 조작을해도 대중들은 노력하개 다 보임.진짜 엠넷 남의 꿈을 장난감으로 쓰는거 같은(내 생각),0,
1:13 너네들은 서수진 없지 난 있지롱~ 나와바!! 수진~ +위알 아이들부터 제일 조아 진짜 아이들 사랑해..0:47 위알 아이들- 0:55 난 밈밈미밈ㅁ미치고 시퍼~ 더 빨리 뛰뛰뛰ㅠ디고 시퍼!!!! 1:53,1,
02:05 나만 여기서 후 하면서 분위기바뀌는거 멋있나03:35 부분도 갑자기 정글느낌나는거 개멋있음,1,
어디서 봤는데 소연 무대할때마다 약간 <we have 수진>이런 느낌이라고ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭔 느낌인가 했는데 쑤진!!!!! 할때 빡 이해함 글고 이어지는 수진 파트때 자신만만하게 웃고 있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우리는 수진이 있다!,1,
솔직히 아이들이 젤 좋았는데 투애니원 잘 모르는 학생들 팬덤이 많은데 덕분에 알게 됨,1,
3:38 세대에 선포하는 전소연의 개멋짐을 보자4:35 부터 미연 화음...크게 티 안나는데 잘한다4:42 춤 엄청 격한데 흔들림 없이 민니로 마무리 개 본새난다...,1,
조회수는 거짓말을 하지 않는다,1,
다들 내 스타일처럼 생김..음색도 내 스탈??다들 노래 잘하신다!!퍼포먼스 미침 헐 나 오늘부터 네버랜드야,1,
진짜 여자아이들 ㄹㅇ 개잘해요..?타팬이지만 여자아이들은 ㄹㅈㄷ다..,1,
조회수 미친... 이 무대 순위가 다시 한 번 이해가 안됨,1,
누가봐도 이 공연이 아래로 3표 받을 게 아닌데 ㅋㅋ; ,0,
전소연은 프듀에서 평가될 인물이 아니였다....,1,
솔직히 아이들이 대단한게 조회수 많은것중에 5개 중에 3개를 차지해서 도 놀라움 완전 아이들 짱이야!! 특히 전소연 너무 좋아 ㅠㅠ,1,
솔직히 나는 이게 1등할거라고 예상했는데 진짜 얼탱이가 없어서ㅋㅋㅋㅋㅋㅋ누가 봐도 조작인데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
전소연은 워낙 유명하고 능력자라 말할것도 없고 저 수진이라는 멤버는 진짜 다시보게 되네.. 끼 미쳤다 방송보니 평소엔 되게 조용한거 같은데 무대할때 표정이며 제스쳐가 진짜 연예인하려고 태어난 사람 같음...,1,
이게 어떻게 6등이야? 말이 됨???????? 조작을 할거면 말이 되게 하던가 이게 어떻게 파압한테 져...;;,0,
이거 본방으로 볼 때는 파이어로 선곡하고 무대도 비슷하게 꾸미고 스타일링이나 가사 바꾸지 않은 점 등 뭔가 항상 보여주던 아이들의 파격적인 면이 없어서 아쉽다고 생각했었는데 뒤로 갈수록 퀸덤 프로그램 의도도 이해되고 박봄 비롯 다른 그룹들 반응 보이기 시작하면서 왜 이 곡을 골랐고 무대를 이렇게 했는지 납득이 확 갔음.. 단순하게 무대만 멋지게 할 게 아니라 무대 안팎의 분위기랑 상황까지 잘 파악하면서 한 게 너무 멋있음 ㅜ 그 안에서 할 수 있는 것(슈화 숨겨뒀다가 찰랑찰랑에서 나온 거나 수진 킬링파트.. 우기 도입부 목소리 박봄 떠오르게 하는 미연 스타일링 소연 랩 당신 미쳤어 ㅜ 민니 엔딩...)을 다 했단 것도 진짜 최고고 최선이었음,1,
난왜 슈화파트가왜이리 중독성이쩔지 1일1찰랑찰랑하는중ㅋㅋㅋㅋ아이들 진짜잘했는데...역시 ㅇㅏㅁ넷,1,
솔직히 이게 6위인건 말이안된다 ,0,
이거랑 박봄 한 무대가 파압♡보다 아래인게 세상충격 쓔펄...,0,
퀸덤 영상 중 조회수 2000천만으로 1등에다 원곡 가수가 극찬을 했는데 6등이라고?ㅋㅋㅋㅋㅋㅋㅋ,0,
에스닉힙?아무튼 정글컨셉 생각한 전소연 개천재ㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋ6위지만 아무도 6위라 생각안하는 무대임 진심ㅋㅋㅋ,1,
"한평생 방탄소년단이랑 외힙 가수들만 판 사람인데요... 이거 보고 나니까 그냥 다 너무 완벽해서 대체 누굴 좋아해야 할지 모르겠다... 이건 그냥 남녀구분없이 사람 홀리는 약을 탄 영상이 분명해요.. 아니 전소연 리더로서 프로듀싱 멤버들 특징 하나 안버리고 잘한다는건 알고있었는데... 수록곡 들어보면 멤버 하나하나 매력을 너무 잘 살려서 어이가없다.. 전소연... 무대도 잘하고 곡 프로듀싱도 잘하고 무대 센스도 그냥 완벽하고.. 다른 멤들도 자기가 부여받은거 완벽하게 소화하고ㅠ 완전 맹수들만 모아놓은 동물원같음,;; 이거봐 내 아이돌 아닌데 주접 그것도 걸그룹을 이렇게 좋아하긴 처음이야.........",1,
이게 어떻게 6위임 말이 돼? 물론 원곡이 넘사긴 한데 향수 불러일으키면서도 아이들식으로 재해석 한 거 진짜 미치게 좋았는데 원곡이랑 좀 비슷하다 싶을 때 댄브 딱 나와주고말이야 무엇보다 이게 러블리즈보다 못 했다는 게 말이 안 됨 욕하려는 게 아니라 솔직히 러블리즈랑 음색 자체가 안 맞고 컨셉해석 부족했잖아,0,
아직도 의문이고 퀸덤 최대의 의문인게 이 무대가 왜 꼴등인것인가..,0,
수진언니 좌표0:541:142:342:433:113:56 이 부분 누가 1시간 무한반복 만들어줘요4:04 좋은 건 한번 더,1,
우기 이번에 레전드다 인트로 에에에에에에에에 이거도 그렇고 머리카락도 너무 잘어울림 송우기 당신은 비올때 우산쓰면 안되겠다..꽃엔 물이 필요하니까 - ><,1,
전소연ㅋㅋㅋ진짜 중간에 마이크때서 나 라이브로 하고 있다 보여주는거 ㅋㅋㅋ진짜 왜케 멋있냐 ㅋㅋㅋㅋㅋㅋㅋ 얘는 진짜 우리나라의 보석이 아니라 세계 보석임 ㄹㅇ찐임,1,
그냥 잘하는 보통 케이팝 그룹에서 소연이의 존재로 특별함이 추가되는 느낌,1,
진짜 세상에서 예슈화말랑이보다 흑발긴생머리 잘어울리는 사람 못봤다 제일 잘어울려 ㅠㅠㅠㅠㅠ,1,
서수진 당신 전생에 코브라였지? 하루에 10번씩봐ㅠㅠ 태어나서 데뷔해줘서 고마워,1,
엠넷이 조작 안하면 ㅈㄴ신기한거 엠넷은 조작이 일상이 되어버렸으니...,0,
"나는 전소연이 항상 파트를 소화하고 서수진을 센터로 세울 때 자기 비장의 카드 꺼내는 마냥 옆에서 웃고 있을 때 설레 쉬바,,",1,
조작할거면 좀 그래도 믿을만하게 하던가 이게 6위가 되는게 상식적으로 가능한가? ㅋㅋㅋ,0,
뒷북 이지만 순위는 6위인데 퀸덤 1화부터 마지막화 까지 전체 유튭 조회수 중 1위...........?,0,
6등인데 조회수 제일 높음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 썸네일 보이면 들어오게 되는 마성의 무대...,1,
어떻게 이게 6위야미연언니 별에 심쿵민니언니 미미미치고싶어에 박봄생각나고수진언니 입술연기짱이고소연언니 다 레전드고우기언니 머리흔들때 심쿵했고슈화언니 머리찰랑때 미모대박이고난 진짜 이 노래 부르고이것만 하루에30번 정도 봤는데진짜 댑악인데,1,
"미연 생김새 진짜 이쁘다 윤아,아이린,산다라박,지수 이 라인에 껴도 되겠네",1,
나 맨날 보러와ㅠㅠㅠㅠㅠ 아이들 증후군 중증임ㅠㅠㅠ,1,
정글을 침범해서 자연을 해치는 인간들 때문에 여섯부족의 수장이 모인 거 같음,1,
왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?왜 이게 6등 ? 왜 이게 6등 ?,0,
이거 뭔 노래였지이러다가 생각나는게 슈화언니가 머리가찰랑찰랑한거밖에 생각안나서 머리가찰랑찰랑치고 들어왔어요ㅋㅋ,1,
4:00 혜정 장군 따라하는거 내가 미쳐 증말ㅜㅜ,1,
4:13 슈화 음색 미쳤냐...? 이거 들으러 맨날 온다...,1,
아니 이무대가 6위인게 말이됨?진짜 볼수록 열받네,0,
혹시나 이때 아이들이 6등 받은 부분에 실망하거나 내가 부족했나? 이런 생각 들고 있으면 어떡하지 아무나 가서 너무 잘 했다고 타팬에게도 최애 영상이라고 편곡 너무 잘 했다고 너무 수고 했다고 전해주고 싶다 ??,1,
여기서는 슈화랑 소연이 대박이네.. 약간 슈화 특유의 발음? 이 더 시너지+중독성 있는것 같음.. 뭐랄까 머리가 챨란챨란?,1,
와 미연 yg 출신이 맞구나 메보라 그런지 음색 진짜 좋네,1,
소연랩->수진춤->미연노래 부터 일단 십사기인것임ㅋㅋㅋ,1,
0:43 소연이 Let's go 할때 진짜 미침 그리고 수진 파트로 넘어갈때 수진! 하는거 그리고 중간중간 영어로 호응유도 하는거 개멋져3:57 수진언니 날 죽여?? 이건 레전드임,1,
편곡을 별로 안한 이유가 나는 박봄님이랑 다른 투에니원멤버님들을 되게 리스펙한거 한거 같아서 좋았음 소연도 추억회상하는 느낌으로 편곡했다고 했고 글고 편곡을 별로 안해도 자기들 색깔로 멋있게 보여줬는데 난 왜 6위했는지 모르겠음 저기 저 파압♡ 도 있던데...,1,
순위를 떠나서 이 오디션 프로에서 기억에 남는 건 오마이걸과 이 팀 밖에 없더라.,,1
솔직히 말해서 이제까지 퀸덤 무대 다 봤는데모두 당연히 잘했음,1,
암넷 이번 프로듀스 조작한거 보면 딱 각 나오죠아이들 막내 그룹이여서 젤 만만하게 보고 조작 했는데 동영상 조회수 폭발해서 당황했ㅈ.. 읍읍,0,
아직도 이게 꼴등이라는게 이해가 안됌 개잘했는데ㅋㅋ,0,
3:56 네 그쪽이 먼저 시작한거에요혼인신고는 언제쯤 하러갈까요 언니,1,
아직도 한이야 조회수만 봐도 6등은 아님,0,
4:29 여기 개열정적으로 흔드는것 봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,
6위가 얼마나 말이 안되면 방송한지 1년 다되가는데 사람들이 아직도 난리다 정신차리자 엠넷!!,0,
암넷 시청자를 호구로 아나ㅋㅋㅋ;; 박봄이 저정도 극찬하고 조회수만 봐도 난린데 6위가 말이 된다고 생각해...? 솔직히 이런 상황에서는 럽리 더 이상 못 나올까 봐 막내 그룹인 아이들 넣은 걸로 밖엔 안 보이는데ㅜㅠㅠ,0,
아이들 퀸덤 3차경연 빼고 다 유튭 조회수 1등ㄷㄷ 진짜 아이들사랑해?? 싫다고말해보고 아이들 입덕했는데ㅠ퀸덤에서 막내인데 조회수는 선배님이네??,1,
"대체 왜 육위,,,퀸덤 조회수 아이들이 다 씹어먹는데 순위조작이라고 볼수밖에",0,
소연이 쑤진!! 할때 무슨 본인 최고의 걸작? 비밀병기 내놓듯이 하는거 존웃ㅋㅋㅋ니네 수진이 잘난거 모두가 알아ㅋㅋㅋㅋ,1,
"3:56 아 진짜 수진 ... 공주 잖아 ,,,,,,",1,
3:56 그땐 몰랐는데 이때부터 아마 입덕이 결정 됐던거 같음,1,
아직도 보는 사람?,1,
난 아직도 이 무대가 6위인지 모르겠어 ㅡㅡ,0,
"무대를 보고 계속 무표정이 이어지는지, 표정이 바뀌지않고 웃지않는지, 아무 감흥이 없는지.. 보려고 팬인거 싹 잊고 무대를 봤는데 .. (팬이라서가 아니라 정말 멋진무대를 봐서 좋은건지 알기위해..) 처음에 똥땅땅 할 때 부터 콧구멍 확장되더니 에에에 에에에 에에 위얼 아이들 할때 고오냥 같이 불러버림.. 후.. 멋진무대.. 아이들 최고........",1,
1:10  여기 부분 선장님께서 라이브라고 알려주시네 ㅎㅎ,1,
진짜 전소연 독보적이고 서수진은 아이돌 안했으면 정말 ㅋㅋㅋㅋㅋ 다 존나 잘하니까 퀸덤 하는 동안 기만 죽지 말길 ㅠㅠㅠ,1,
아 나 소연이 렛츠고! 수진! 막 이런거 할 때마다 소름돋는다,1,
2:40 수진 예쁘고 매력있는거 공감하는데 ㄱㄱㅋㄱㅋㅋㅋㄱ남자분 환호 사운드강탈...,1,
민니도 캐릭터 확 튀어서 좋은데 이거 소연이가 다 편곡한거 알아주세요 ㅠㅠㅠ 댓글이 다 민니 언급 밖에 없어서 ....,1,
3:04 3:04전소연 제스쳐 간.지.폭.발.,1,
2:12 2:12 2:12 2:12 2:122:12 2:12 2:12 2:12 2:12  우기 영어 발음 나만 좋은가..? 계속 들을려고 만듬,1,
와 아직도 기억나 이거보고  진짜 충격먹음 너무 잘해서 그 전에는 아이들 이름만 들어 봤는데 이거 보고 입덕함 진짜 내 최애 무대,1,
이 무대 우기 파트 왤케 좋지ㅜㅜㅠㅠ 양갈래 하고 나와서 귀여운 얼굴에 그렇지 못한 목소리로 노래하는데 너무 좋아..,1,
이 무대가 꼴찌? 말이안됌.....조회수차이만 봐도 딱 답나오는것같은데...,0,
난 우리 아이들이 여팬이랑 해외팬이 많아서 너무 조아..,1,
와 진짜 잘한다 개인적으로 본곡의 그 박봄 목소리가 탁 트여서 넘 조아... ㅠㅠ 투애니원 다시 보고싶어여ㅠ,1,
아이들은 자신들한테 어울리고 잘 맞는 곡 선택해서 아주 잘한듯,1,
정글편곡 기발하다ㅋㅋㅋ자체평가 6위 에바인거 같은데  누구 탈락안시키려고 눈치보다가 아이들이 젤 막내고 1위했어서 그런가 피해보네 경연이면 실력대로 평가받아야지 이렇게잘했는데도 매번 이해관계때문에 저평가받으면 좋은 무대 보여준팀만 힘빠지겠다 에휴ㅜ,0,
이 무대가 6등인건 아무리 생각해도 자다가벌떡,0,
나 아이들 팬 아닌데 이 무대 댕잘했는데 왜 꼴등인지 모르겠음,0,
아니커버곡인데 정말 다르다.. 역시 전소연장군님은 천재이십니당!!!???????? 응원봉 빨리 사고싶당 ㅎㅎ,1,
내가 맨날 보려고만든 슈화 찰랑찰랑 타임라인4:13,1,
전소연은 그냥 음악천재라고 정의하자 어떤 음악이든 다 잘하고 그 음악에 따라 어울리는 랩 표정 보컬 다 잘 함 ㅜㅠㅠㅠ 이런 애 100년에 한 번 나올까말까 한다 ㅜㅠ,1,
조회수 2600만 ...미쳤다.. 사랑해 아이들???,1,
제작진 부끄러운지 알아라 꼴등곡이 유튜브 보기 압도적 1위이고 최소 중간 등수는 줬어야지 대충할거면 프로그램 폐지해라,0,
아직도 보는 나도 참...아니 근데 퀸덤 속 아이들 공연은 무조건 볼 수 밖에 없어...,1,
솔직히 이건 우기 머리를 봐서라도 4위는 줬어야 했다,1,
투표는 조작해도 조회수는 거짓말하지 않는다. 보란듯이 증명하고 있네,1,
미연은 와이지 보컬 트레이닝 받은 그 특유의 약간 지수 느낌난다,1,
"4:03 여기 언급이 왜 없지 ㄹㅇ레전드,,,,,",1,
아니 약간 아이들은 각자 다 비주얼도 다 각자 개성으로 이쁘게 생겼고 음색도 다 각자 개성이 있는데 그 조화가 너무 이쁨,1,
"아니 이노래에서 정글컨셉을 뽑아낸거부터 걍 미친천재ㅜㅜ 그냥 전소연너무멋져으으윽 댄브 서수진 걍 쥬금ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 빨리 컴백해조 아이들,, 현기증나,,,,, 애드라 화이팅,,,,",1,
아니 이 무대 전소연 유독 멋있네 진짜 내 멱살 잡고 따라오라하는거 같음,1,
1일 1영상 .. 이거 진짜 마약임 .. 공부할때 에에에에에에 그러구 있음 ..,1,
다른 댓글에서 랩메이킹 잘하는 전소연이 한 소절도 안 바꾼 게 투애니원 리스펙했다는 뜻 아니냐고 했는데 맞는듯 다들 옛날생각 날 수 있게 원곡 살려줘서 고마워,1,
미친 수진 존나예뻐 이 구간에서 나갈 수가 없음..3:55 3:55 3:55 3:55 3:55 3:55,1,
4:07이때 소연 표정이 새키들아 잘 봤냐?ㅋ 이런느낌ㅋㄱㅋㅋ,1,
"그냥 갓 그저 빛...미치겠네 진짜 너무 좋잖아... 난 아직도 여기 와서 영상 본다... 아이들은 그냥 하나의 음악 세계 그 자체야, 진짜 대체 어떻게 모두가 완벽하니 증말 ㅠㅠㅠ+) 하ㅠㅠ 수진언니 진짜 너무 최고야... 끼 그자체.. 써! 쑤!! 쯴-!!!",1,
3:56 보고 미치는줄알았음 진짜 무대를 잡아먹는 장악력이라는게 저런거구나 ;; 사자를 마주한 느낌이었음 끼 대박이다 수진... 팬층 클 만 하네,1,
3:56 서수진 미쳤다...????,1,
3:42 이 영상의 하이라이트,1,
조회수가 이 무대 레전드라는거 인증해줌ㅋㅋㅋㅋㅋ,1,
꼴등이라니 엠넷 연습생 상대로 사기치더니 이제 아이돌 상대로 사기치는거야??,0,
3:56  이거보려고 매일 이영상 들어옴여잔데도 볼때마다 웃음이남,1,
등수 신경안쓰는편인데 유튜브에 올라온 퀸덤영상중에 이게 조회수1등인데 6등이라는거 생각하면 억울해서 미칠것같음,0,
박봄님이 뭉클해 하시는거 왜케 흐뭇하지,1,
서수진 사랑해.,1,
민니야 나주거,1,
민니파트때.. 민니 원샷좀 잡아줘요 카감님..,0,
수진하고 서수진나오면서 춤출때 소름 돋음ㅠ,1,
"1차때 너무 잘해서 기대치가 높아진것도 있고, fire라는 곡 자체가 2ne1 색깔이 너무 강한것도 있는듯. 다른곡보다도 특히나 이곡은 원곡자가 생각이 안날수가 없는데, 무대에서의 무게감이 원곡자에 비해 약간 아쉬웠을뿐 편곡이나 무대구성은 너무좋았음 특히 인트로랑 댄브부분. 개개인을 봐도 자기가 지금 갖고있는 능력치 내에서 최선을 다했는데, 특히 CL파트를 저만큼까지 소화하는 사람 아직까지는 못본듯. 수진 댄브도 좋았고.무엇보다 fire에 도전했다는거 자체에 높은 점수를 주고싶음. 그정도로 쉽지 않은 곡임을 다시한번 느꼈음. 그리고 1차때는 확실하게 눈도장 찍고, 반면 2차때는 조금 리스크를 안더라도 본인들이 하고싶은 곡을 해보는것도 좋은 전략이었던 것 같음. 앞길 창창한 아이들에게 좋은 경험이 됐을듯 하네요.",0,
이 무대 한 날이 벌써 작년 오늘이야 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그리고 소연아 생일 축하해 사랑해 작년에는 퀸덤 한다고 잘 못 쉬었을텐데 오늘은 사랑하는 사람들이랑 즐겁게 놀길 바랄게??????#천재선장_전소연_23번째_항해,1,
진심 전소연 님은 무대 즐길 줄 아시는거 같음.,1,
수진 나올 때마다 여자 관객 분들 죽으시는데 ㅋㅋㅋ 아 물론 나도,1,
수진 어쩜이래 ㅜㅜ,1,
와 진짜 화...........려한 조명이 나를 감싸네 미안하다 이거 보여줄려고 어그로 끌었다 레알 서수진 섹시미 실화냐 자칭 큐티라던 사람 맞나 진짜 세계관 최강자의 멋짐이다 대한민국 여자들의 가슴이 웅장해진다+아니 진짜 예슈화 찰랑찰랑할때 나 ㄹㅇㄹ 트루로 100번째로 반할뻔했다 이래서 괜히 첫사랑기억조작녀가 아니야 ㅎㄸ,1,
fire라는 노래가 사람들 머릿속에 2ne1의 명곡으로 너무 깊숙히 남아있고 2ne1아니면 소화할 사람도 없다고 생각하는 경우가 많았어서 누군가 보기에는 기대 이하였을진 몰라도 나는 그 시대를 다 타고온 사람으로서 되게 대견함 아이들이.. 데뷔 2년차가 10년도 차이나는 대선배의 명곡이자 데뷔곡을 직접 편곡하고 무대구성해서 이렇게까지 했다는게 솔직히 안믿겨짐 너무 잘했음,1,
3:55 수진 미쳤나봐...... 끼봐라ㅠㅠ연예인해줘서 고맙다고 절하고싶을정도다,1,
딱 정글처럼 분위기 딱 바뀌면서 댄스브레이크 하다가 수진 혼자 독무 하는 부분 진짜 약간 그 정글에 살고있는 뱀 느낌나서 소름... 서수진 사랑해,1,
여돌 여팬들은 솔직히 이그룹 저그룹 다좋아함..여돌들끼리 친목을 한다? 어우 감사합니다 좋아라 하고 감상하지근데 남돌 팬들은 절대 그러지 않아..킹덤 이런거 만들지말고 퀸덤2나 만들지...,1,
수진 철럼 너무 중독적이야ㅠㅠ 냄들철럼,1,
"4:46  저기 남자분 119 불러드릴까요..? 사양하지 마세요 나도 119가 필요해 어머, 내 코피 봐..",1,
2:38 으어어어어엉ㆍ허어어어어어어!!!!!!!,1,
볼때마다 직캠이 없어서 너무 슬픔...,1,
4:12 슈슈 파트 개쥬아???????,1,
다라한테 녹화해서 보여주고싶다 원곡자가 할수 있는 최고의 극찬이다,1,
이무대 코디 진짜 찰떡인듯 곡분위기랑 아이들 특성살려서 다 잘한것같다,1,
수진 표정 쩔어진짜ㅠㅠ,1,
유튜브에 퀸덤치고 조회 수 순으로 바꾸면 이게 맨 위에 뜸 근데 이 무대가 6등???? 말이 안됨ㅠㅠㅠㅠㅠㅠ,1,
